r,s,z
ae33c90e797d6e107e4ab3ce35cd6915266ba1224a59e1ca3ced64fb3b498ae2,2a9df0f0d6d688336c3b8f45a1514cd404879296d6a9dce64e6f69a63fd60c70,ad10653bbe6ce58ac1461196e3f92e38750914fa31faddd092632bb59dd2c572
7480ec062ede0295b32af74a63abb362a12eee3f8eb042f26c7f0685094cd43f,ed6ac61b7fad31214a6e0db33335cf28e94330474aea52a6b7766f0b7cf1d632,1b93541b43380b04fb8741b1411c749851679562966c72305695b086ac943529
b7e7517aead68980b370edebb1b966ae68abcdfea053337c4cdf3f2089627c27,899c5b985c0e4632bb0268d2b4ec416cf956b9d2d2e940c55cb2c34da980e081,3298572f19aa451c1dea2955fc7b5a2e5df2b2a257feeaa1bd7937fcd74678a4
b304cf6cf0a3a15d1fcadf4bbfb767911a717c9c06ce5ab80a153d31e6bfcc53,46103d74af3353043f22578d92a8bb870666aa64341119bdbec5cb96357a40d7,9bb3764941570f698249c7f921b4830356fe6403fb3bb2234edb336f4f95d49e
8c684724db8382ff4dd1655407e6ddbcfe06f792e94f2107a205ea35eb520c3e,19646e2d5943f8ff46cbdfef8f68238867ec6d1160720b91eb924be59be0d87d,a3259e2d6db75273bb52fa719660b33fc2f36cf42cf3c2a1d7bb0363ebd9e4a2
e0cead592d477305695eebe175926e1f8a4b35acb7077daea7888a79a8773a5f,2349301a1796d595b24c0bac266d7b2ac7cd30a89ed373b2bb4338564f453b5b,d69187f7d0490f8c1b1d735c545edd2f3f55db5d36d178120115de2ca409cb1d
a0edca9f27f2b2d2bdda95b64c9cb05134a965f562c1aaf557e837bc470f4429,c94ce93a83375574021b9303e1bc484b4f6be8177b2396880ebffd6a61e2d74e,e3a417e36566c76c3d84890dff050e450a3f329e6f2dcf55576cd01e6da3f5d8
12271c0de421d57e490abb0aef3e262da65710c649c278c8837a3fac32be542a,364a336f772c5027fa123f914c2ce98b78dcb2adec831cfe042b086e2635ab06,f392d348f22adc4655eb799b6564c86e42394691d226286e7eddf53009d5e884
68d3d489aaff8058bb678690ba304912a0c7e89771eed3d9a84edca596d6adda,6166a59e1af7c926e83965e60fef842729d351c13e38e4265c8c15bb2633d422,0aaa884cbeb423b6c0c45bafd158f3341bf2315e957531b33c57e40f17c6a8f8
eeb0a671647e093c62774ca8a73357e383ca150ef6c67c84cf72f76fe6dc60ab,7eadada709f973735abdf826f264da4efcbd0f02f32b149759ec74a8eff5db9d,f85ed7acdb8c55984e19e4b9d2d42c268836377f916e4d59923722044d49d72d
fee90cfd35241e0e3904a75760dc5e102b3fc10d542fc2c4713c29c613b9be90,a403dbdb9075d130630c7a66085fb36180cd1504fd79bd77942c7304b144aca7,c49d95d372b55f5143e1a30258be70d85b7313e43399855513f858c7f3e1ad93
e2e6c0e5fe132215555e4f765ccd0248571d4a4a3038adebdb34c66b039dccb4,79bab1004ca1a164a81f80222fc55b1763fd646c9912024474ea261c95c48476,365570ebf50a175cfb025faeb59d7869380dfe59e0151a14935192653d05f616
7030a9983f67e36a9a3f21a682bce2b6144cd31e2d37e0793a17f1a4b75c9d05,228621204f1ab2fb5bddba3ca2a905b6cc4e70b9ffe13a48fce1fcae5f8ec80e,052549eedf84763587061da51f7c9d8bad77fb12ba47bd6617c76d75c776d486
6df1e1520b8205a7894842f0736d25c3fbf7cf025ea648d2f022cf9016a84b91,e23d81bd3d2a3918af9e1f688920ec746ecaa0380bf35a5a7b31603d751563e0,e82e49d3eb6e636c4054e337bc4007d47970a51082285f0433bc29a237d38507
a5909f6e30d7e0c89fd4437d0365ade0bf89c3fe45f6fdbb18ad1c6ef2a4fb67,d0691ce488ffee3d1d9be186dfcf1e1785db64e3534a2284b8d35189e39daee2,47f70b117f6d4356e159e5a936c1cf87985e062a9e92ea8ff5a3dbac3d0c3004
971ef686ab505a0ef3c2923e3f14c424fedff3f02d1b40813ed741dcff805798,9fb6f89014733fa0815639bf5f9ba94e528cae7d2b127ebf75e387c30b8cc9e3,05454c1622a8f5e8488ca269abf5a3df16304c286abb256b21eb5b6efe99b77d
1149310acb166e36c76f885951df608feb183c15624885b463d035ddc4c7e9f1,41d7e8c5af19d7e80b929914e3f39922b3b33d7b355c1f8d1dc1f375765e7cba,99ce656f20b343eb8b69e77f238f58209d45306bccd5b13a4476f63bf75730e5
5a2722cf4b46747f42ece185acdf8f754afae9400539200809785ff2ba077001,b60856bd360bb36cc5dc024f014cc404dc73ae84d1fc4b2bd8b4d254159af225,a2e1d73fe43354ea57acbaeb3520f07d428aeed78281d2bf760e28996372713f
bd11be7080551aa292c3adb808bf56652d25958b7376f271f57a911030454dbc,d79ba1684ebda84ef698a5683d463082ffff0aa991b16398c954e534bf9e21bb,5d312952bc5ad75ff457f3719bddedba9f772700a3370a9e24cbf5250a27ad3e
218363024a0c9dc020255e2ff77cfdc5740f19e1120a15baee05c4f803916206,2aa188e6aa18f7b7d7922f3d775629e750bd6daf9abb5453e05dc4f698403f0a,13e5b07badea35dea2429bc268217699d278e7647f358a619a5320c74cb77a86
8a691edc536a706dbccdf9f4ceb5a476d15ee0b93eeafe20b41e7ccf913d123c,d976275b828cc0b8c8f280481060fdefa699b614631d5dfeef6aaeab3599b9b6,56dd574925cdeb33159a0f926d80169d7fe2baa5f039d783bd4cc0fe61e6626f
8773efbe5ec41140e1c96433c98eb75246979ce44a5dcb84b2201c156c27b991,f662c039fc597a9deecf09808a25f5d0ea9fb63c042432cfa762a058d0df51ba,c0600159797d02f4ed36de866af4c113c31b75a55dd5c24641e2a888af983b38
fbfae1261e87f594c01c155fe357050e1c9237edff3b7634e3b6c097f4fd51c3,f9c27c7d4cc9a7a8ef0295ad13db2ebd92dcb5c5239cf1b0a4b81674e6cc5241,aaf2ed7cb98ed98dec434123535acec6cc99aa72d0ab21798fe1441f7a1db5f9
5c4f9e45caa5e23bc52dd6acbea877d3cd2cf49684dab90fab910dd9cf0c14a8,0afbf04c8be5d20654b5bb958401ff7e1d367aca6e67d3278a70a9951af639b0,19d4a8d266edce5f5e6cfd8ee9daf1d2bb87cee50cb7f889d61e625b07d087f1
6089587ce6d8ac07da89016a7a357810ae60f2ccdad8da91149aa571f86ebe7a,f8dd670ba57defc005cedea44c56a71d0f85c30aa8b9f2a85c1199fb6a0657a5,66b8563b0c27e6748938452ebf8a74519f51341570593a7a653888c78c5ae291
7eee5149240de1c98bdeb6cccc176888004b0290d3bba309f61cd484ef085cb9,d71a949d193f4315eafc99c9e422ed47232a5d273fe52d5d3184731125847fa1,7c7f508520331bde55edab1ef09ddc76e18f3dd013c3b0bf4d747b2d95208feb
2f666679e594cecc669fa22fdb3cbd1827f3e79ce28f87da7794ea7fa13b638c,adb0ffc73ab1fb092b7e6f619fe30cb2040a164658517b14ab001a4146a8512b,8750491a0b680a3da96aa7b2164ca4bddfe7d271003f8bf9c589d5efeb3c323a
e09f69e00bc32ec9270ef20d497cf40b435604b4e06576bf08d2fc15e95692fb,f4cdfeed957bfa8426d604e30405722ee0e6245e14adcc46c6b4c75355322922,9dbf5adf9e9ebdefad27e95766b0effd618732b8ffe8ba72075e49c33048564e
fe8f7d5670d4eab56724781d1fb3dcc3173e559d7841aa1dfa6ef2212e8f2d0e,8543517323b4b3bc2f9b2db2f1e2a063416b0eb3fce57da523b9597db9cf0582,522757268b68f1b79ff67ce72eb9a5df14ebad7d1be391dad036332f94a5cf1e
37d0a02cff86a46999a8ed7ea4b5ab70d97bce7e3fc69b3dc5d68f4956a817a7,646585d75eafdf45959da060305c620c54b9c937dae89a8288e39d540e54deb1,f19a38bee83d961d93d597282184a3547db20683b8854000f0c2417c24655e5d
7697234737ee071565be3579bdae01308210504e4c041b0e05ef48e196c0d592,a5044d832b91e24bccc2f0e1f439c2fc0baeb8d65cc2aa4ba305d4ecc3eaa1b2,b81cac1eee5bc913a0011b9db494dd6442cc669c7f404f6a55dbad852df9ce87
bd31d17cf48923d1c4fd3f8d8a366ca90487901c7581334dc269f736d079432a,8ed44b2dba83e16dcc79959dfed270abc774c6b5fb2feb204dd2699398091725,b4558c8fcb0b0bcab17830a4473fc12bcc03a1753f9e43b429f83f646c07cf7f
b1b805a3773c2fdea091adc97610fe3ae6afcca90d80b870d7fb7c5dc3df48ab,2b656fe82632606b6ed7fa6ec16010b114fab8e5d716310e0d85ea09a07229d7,b4df6278de8d8713c59aa40b89ede7a60572f7515517946240195f428a40c3a6
e2fcbdefe1504233299cccdb450d667d608d9ccc5c79941eb779b5d35faacae3,3a40e4960669f010cf905be4723a2996800f712005f54793a276f0db6b7ceb25,34c45e98146f55dca04eaf102edebd96c37b2a6230c424aebd9fda64430207ce
08ee80bf36760101e1e7f740a03bb9df27a643cdfdd257a3137ccb3562c831b0,ab89305ac50209fa38af59d859af216821230c0c2517a412a3c75b3696208280,14e3d2cc3f73d6a4ec57aead6a0b119e3b5ebbf6b0833fa6a1898ee97c7c1467
a03fad4610feffac90d0951cac51326956ef75638cd8459fded36bc34d10c058,3c7523cb49e86a957834627879947dcb3d519506226b7297297e7004324a6be3,c4c0b73f031fcea1c2461e4a8499d4a4e093d88692af4d9337346710d9ac6af3
a817afb520617bb40e252da03a0e3cc3b96e7081038ce11b489825e60293a5d9,358c389a6c7be4f5d43f312df635adb8918edd5720e10fcff5fbe2b0f42a0216,d40494e2ee3796db5b38bb7d2bf2d63747dff81a4d5aa969e8bd1e8af6730e5e
70445cf9f34e98eaa96d766a30f22cb435f1bda2a0eb99a30fa1fd3734cfe066,686cd53f5c1fa51e16e83b36eec331a49a0934d3926dc396009ae20eec061b55,56a430f18f93105ac3e11cd61b1b670080b2cbd186def2c138090cbc1fe44103
6671ca925994c0d8d9de3827b6eddf4d192a187a854a76127ddbe0d35a002c64,18ee28c0ced7f7f03cf36be458c99d8da58e9a27807c62d2e9bb67e558568574,35e7ea728d4b4d58d75983e5df03145fd71766132c8c10263dd6f2b975f94929
b9d0c8ef850d2b8818021ffa3bd262e973b0fe0fb596eab69aebecc97340025a,699762b4eeec54d0181afa04f621356ad881aa3c62046d6611a02c806fecff51,2c2aaf654c02235b1eda213bf5b40803a57fcd4a450894be3903192b4867a95e
2b69b9e72a6593cf6e50b45fc5e4729ccdf9ca110c0fcf0d2377c47294d78f8d,187b0621a04fd204c8e135c699e26121e45aec98f5951ae230d68feaed52d3bb,a586a57269a84f2b1739009cd117d982c43bcc4ed1ada69d8ec165bc5612c4de
94230c9f8e3c06c435be60c1fd97e15aa3e7b3657f5991faecdf3cf70ad1b508,94a2734a3cd6f1e78477833f07a0de32fe1a39dd70fba265aa8339d9929d638e,fb0d338fae1422fec14d969ce5c781f283111339c2561e04d3076944ebaa8423
2318b85c51e8376a60889c3d5f87fe911d8bbb0ce025c25c40b510b629ef3299,49d083b1d1ee8a6d82f35f0b60e2ee6b8615bcb27de11af0aa53fbfe68a3739d,1eecb59952ab310403b653c6d6b4159fa186a8183bbcd2dadcf7734a03529e47
daf65ac0c8be892d4455fcad5481ea5a97c6ce368613f4634f29832dd5bdacde,640307f4dbf4f39a7a23a2ed1ac9a427fa3f65d86932f4ac8545b58c19ab42e6,4d0cd94a5abd2da0fd840afdf871c7e2a770673b1d5eb61c83e1f25ed5610bf6
